Flavor Intensity,Texture Complexity,Spice Profile[0:Mild 1:Medium 2:Balanced 3:Spicy],Freshness Index,Culinary Technique Score,Aroma Richness[0:Low 1:High 2:Moderate 3:Very High],Tastiness
7,3,2,7,6,0,-1.444999999999995
10,2,1,6,6,1,-17.808000000000003
6,2,0,8,7,1,2.9590000000000014
8,4,0,10,6,1,1.1110000000000024
10,3,0,8,6,0,-11.77
6,2,0,6,6,1,-1.4429999999999996
7,2,0,10,7,1,1.6680000000000046
6,2,3,7,10,0,6.433000000000002
7,5,1,8,6,1,4.761000000000005
9,2,3,10,10,2,-2.5879999999999974
6,1,2,6,6,1,-4.428999999999997
9,1,0,10,9,1,-5.67
6,1,2,6,8,1,-1.1209999999999969
8,3,3,10,10,1,4.532000000000005
7,4,1,7,9,1,5.781000000000002
10,1,1,9,7,3,-15.626000000000007
7,4,2,6,10,1,5.852000000000002
9,3,2,6,7,2,-10.268999999999998
9,2,0,8,7,1,-9.158
7,4,0,10,6,0,5.663000000000004
6,5,3,10,9,3,15.066000000000004
9,4,0,7,9,1,-2.087999999999999
7,1,1,10,8,2,0.03200000000000691
10,4,0,9,9,0,-2.866000000000003
6,2,2,10,8,1,6.943000000000003
9,5,3,7,7,3,-4.480999999999998
8,2,2,6,6,0,-9.425999999999998
8,4,0,9,9,3,3.6730000000000014
7,2,2,10,9,1,4.558000000000005
7,3,0,6,10,0,4.215000000000003
10,4,0,8,10,0,-2.586000000000002
6,5,3,9,10,0,16.885
7,5,1,8,9,3,8.697000000000005
7,1,3,7,8,0,-3.481999999999992
10,5,0,7,7,0,-6.354000000000003
8,2,3,7,9,2,-4.324999999999996
10,5,0,8,6,2,-7.66
7,4,2,9,7,2,4.499000000000004
9,1,1,7,9,0,-9.488000000000003
10,3,3,9,9,2,-7.087000000000003
8,1,0,7,10,3,-5.124999999999998
10,1,0,10,6,1,-14.671000000000001
10,1,2,9,6,3,-17.489000000000004
7,2,3,8,7,3,-2.7329999999999957
10,5,3,6,6,3,-11.548
9,4,1,8,7,2,-4.744
6,3,2,10,7,2,7.344000000000005
7,3,1,6,10,3,2.4670000000000036
9,1,0,10,9,0,-5.157
6,1,1,6,7,2,-3.078999999999997
7,4,0,8,8,2,5.197000000000003
10,4,0,9,10,0,-1.2120000000000033
6,1,3,9,8,2,2.2790000000000052
10,5,2,6,6,3,-11.339
9,3,2,10,8,3,-3.6319999999999966
10,3,3,9,6,1,-11.536000000000003
9,1,1,8,8,3,-11.307000000000004
9,1,3,7,7,1,-13.727000000000002
8,3,1,7,9,3,-1.8519999999999972
6,5,2,9,7,3,10.593000000000004
6,4,0,8,9,2,10.890000000000002
9,1,0,10,9,1,-5.67
7,1,0,8,6,1,-5.301999999999994
9,2,1,9,7,3,-9.019
7,2,0,9,9,1,3.602000000000004
9,5,0,8,8,1,0.20000000000000095
8,1,0,7,7,2,-9.573999999999998
7,4,3,6,9,2,3.4760000000000026
7,3,3,10,10,1,8.571000000000007
7,5,1,8,6,3,3.7350000000000043
8,4,1,6,6,2,-5.106999999999999
7,5,3,10,7,1,8.745000000000006
10,3,3,10,8,3,-7.880000000000001
9,5,0,7,9,0,0.9930000000000003
7,1,0,7,7,1,-5.021999999999997
6,4,0,6,10,1,10.309000000000001
8,1,1,9,6,1,-8.175999999999997
7,2,2,7,9,2,-0.07699999999999663
8,4,0,6,10,1,2.231
9,2,2,9,10,2,-3.7529999999999966
10,1,0,8,9,1,-12.457000000000003
9,1,3,8,7,0,-11.840000000000003
8,1,2,7,8,0,-7.311999999999998
7,3,3,7,6,0,-1.6539999999999946
6,4,2,6,9,2,7.724000000000002
8,1,2,6,9,0,-7.0319999999999965
6,5,3,6,7,0,7.801
7,2,0,9,9,1,3.602000000000004
8,1,1,10,9,0,-1.3269999999999946
9,2,2,10,9,2,-4.032999999999998
10,1,1,6,9,2,-15.927000000000007
9,2,1,7,6,2,-12.907999999999998
6,3,2,10,10,0,13.332000000000004
10,4,1,8,10,1,-3.3080000000000016
10,1,1,7,9,3,-15.066000000000004
7,4,2,9,6,2,2.845000000000004
8,3,0,10,10,2,4.646000000000004
6,4,2,8,7,1,7.677000000000003
6,5,0,6,7,0,8.428
10,4,0,9,6,2,-8.854000000000003
8,3,1,7,10,0,1.3410000000000029
7,4,1,10,10,3,10.531000000000004
10,1,1,8,9,1,-12.666000000000006
10,1,0,9,8,2,-13.250000000000004
8,5,3,8,6,3,-0.7219999999999964
7,3,1,8,9,0,5.100000000000005
6,4,0,9,7,1,9.469000000000003
9,2,2,9,6,0,-9.342999999999996
10,1,0,6,7,2,-19.026000000000003
7,2,1,9,9,0,3.906000000000004
9,2,1,9,8,0,-5.8260000000000005
10,3,0,7,8,0,-9.835999999999999
9,2,2,6,6,3,-15.004
9,4,3,9,8,2,-2.1339999999999986
9,3,0,6,10,1,-4.3759999999999994
7,4,0,9,6,0,4.289000000000003
6,5,0,7,6,3,6.609000000000002
7,1,2,9,8,3,-2.0639999999999934
10,3,1,7,6,0,-13.353000000000002
6,4,0,6,6,2,3.1800000000000015
9,1,1,7,8,3,-12.681000000000003
9,4,1,6,7,3,-8.005
7,3,1,7,6,2,-2.261999999999995
10,1,2,8,7,3,-17.209000000000003
10,2,2,8,8,3,-12.986999999999997
9,5,3,10,7,2,0.15400000000000325
9,5,1,9,6,2,-2.4559999999999977
8,2,1,6,7,0,-7.562999999999999
7,5,3,9,7,1,7.371000000000006
8,1,2,6,6,2,-13.019999999999996
10,5,0,6,6,0,-9.382000000000001
8,2,3,8,8,1,-4.091999999999997
10,4,2,6,10,2,-6.778000000000002
8,5,2,8,7,0,2.6800000000000033
7,1,2,7,10,3,-1.5039999999999965
10,3,3,9,7,1,-9.882000000000003
9,1,2,8,8,1,-10.49
6,2,3,8,10,0,7.807000000000002
6,5,0,10,8,3,14.039000000000003
7,1,0,10,6,2,-3.066999999999993
6,3,1,8,8,3,5.946000000000003
7,2,2,7,10,3,1.0640000000000032
9,5,3,8,6,2,-4.2479999999999976
9,2,2,9,8,0,-6.034999999999997
9,5,1,9,8,0,1.878000000000002
6,3,3,6,6,3,-0.5279999999999974
8,1,2,7,7,2,-9.991999999999997
8,2,0,7,10,2,-2.0440000000000005
10,4,3,6,8,3,-10.808000000000002
9,2,1,10,6,0,-7.759999999999998
6,1,0,9,7,2,1.252000000000004
7,2,2,9,10,1,4.8380000000000045
10,1,1,10,10,3,-9.290000000000004
10,1,0,8,7,0,-15.252000000000002
7,1,0,10,10,2,3.5490000000000066
10,4,2,9,7,3,-8.131000000000002
9,1,1,10,6,3,-11.867000000000003
7,1,1,9,9,1,0.8250000000000063
10,2,2,7,8,2,-13.847999999999995
6,3,0,7,6,2,1.9860000000000022
9,1,0,9,8,0,-8.185000000000002
6,3,3,6,7,2,1.6390000000000027
8,4,3,8,10,1,4.352000000000002
8,3,2,10,10,2,4.228000000000005
9,5,0,6,8,1,-2.548
10,4,0,6,6,1,-12.463000000000003
10,4,3,7,10,3,-6.126000000000003
6,1,0,7,6,2,-3.149999999999997
6,4,2,10,7,2,9.912000000000004
8,1,1,8,8,3,-7.267999999999995
6,4,0,10,6,0,9.702000000000004
7,4,3,6,6,0,-0.4599999999999973
7,5,1,9,6,0,6.648000000000005
7,2,2,9,6,2,-2.290999999999995
10,3,3,7,7,2,-13.143
10,5,2,9,10,1,0.4250000000000006
6,3,2,9,7,3,5.457000000000004
9,3,1,9,10,2,-0.9759999999999958
7,3,3,6,6,2,-4.053999999999995
10,5,1,10,6,0,-4.094999999999999
10,3,0,7,8,2,-10.861999999999998
9,5,0,9,8,2,1.0610000000000015
8,4,1,9,10,3,5.118000000000002
9,1,3,9,9,3,-8.697000000000005
9,5,3,10,8,0,2.834000000000003
8,1,0,7,6,0,-10.201999999999998
10,4,2,7,9,2,-7.058
6,2,3,6,8,1,1.2380000000000013
10,2,3,10,6,1,-12.729999999999999
6,2,1,7,9,0,5.197000000000001
6,1,2,9,6,0,0.20600000000000485
8,3,1,9,10,3,2.550000000000004
6,5,1,7,7,2,8.567000000000002
7,3,1,9,7,3,1.6270000000000056
9,1,1,7,9,1,-10.001000000000003
8,4,1,6,8,3,-2.312
8,5,3,10,7,1,4.706000000000005
6,1,1,6,6,3,-5.245999999999997
8,2,0,9,9,1,-0.4369999999999977
6,3,0,10,10,2,12.724000000000004
10,1,1,6,9,1,-15.414000000000007
6,2,2,8,7,0,3.054000000000002
7,4,0,7,7,3,1.656000000000002
8,5,2,8,7,2,1.6540000000000032
8,3,3,7,6,1,-6.205999999999996
9,5,0,8,6,2,-3.6209999999999987
8,2,1,7,7,3,-7.727999999999996
10,3,0,8,10,1,-5.667
6,1,2,9,8,3,1.9750000000000045
6,4,1,8,10,2,12.335000000000003
9,1,3,10,7,0,-9.092000000000002
7,2,0,8,9,3,1.202000000000003
10,1,0,9,7,2,-14.904000000000003
8,5,1,8,7,0,2.889000000000003
9,2,1,10,6,2,-8.785999999999998
6,1,0,9,6,2,-0.4019999999999959
10,3,2,8,10,1,-6.084999999999999
9,2,2,7,10,1,-5.988000000000001
6,2,1,8,6,3,0.07000000000000162
10,4,1,8,6,2,-10.437000000000001
10,2,1,8,8,3,-12.778
9,4,2,7,6,2,-7.980999999999998
7,5,1,10,7,0,9.676000000000005
6,3,1,6,9,2,5.365000000000002
7,1,0,6,6,1,-8.049999999999995
10,5,0,7,6,3,-9.547000000000002
8,1,3,6,10,3,-7.125999999999996
6,4,1,7,9,2,9.307000000000002
7,1,1,10,9,3,1.1730000000000067
7,2,0,9,7,0,0.8070000000000039
8,2,0,10,6,0,-3.511999999999997
10,1,2,6,8,0,-16.764000000000003
9,4,2,10,8,2,-0.5509999999999986
8,2,1,6,9,1,-4.767999999999999
8,3,1,9,7,0,-0.8729999999999958
10,4,0,6,9,0,-6.988000000000003
6,3,2,7,9,3,6.017000000000003
9,5,0,10,8,2,2.4350000000000023
9,3,0,6,9,2,-6.542999999999999
7,4,0,6,6,0,0.1670000000000016
8,4,1,7,10,2,2.883000000000001
10,4,3,6,7,1,-11.436000000000002
7,1,0,7,10,0,0.45300000000000296
6,2,1,9,6,3,1.4440000000000022
7,1,3,8,7,3,-5.300999999999993
8,4,3,7,9,2,0.8110000000000015
9,5,2,8,8,0,0.2950000000000017
9,2,0,8,6,3,-11.838
10,3,3,9,7,2,-10.395000000000003
10,3,2,8,9,3,-8.764999999999999
10,4,0,8,7,0,-7.548000000000002
9,1,2,6,7,2,-15.405000000000001
10,3,1,9,6,3,-12.144000000000004
6,2,2,7,7,1,1.1670000000000016
6,1,0,6,9,0,1.4640000000000022
8,3,0,10,10,3,4.1330000000000044
9,3,2,8,9,1,-3.6999999999999975
10,3,0,10,7,3,-8.906999999999998
6,1,1,8,7,1,0.18200000000000383
9,5,2,8,7,1,-1.871999999999998
10,1,3,7,10,2,-13.317000000000004
9,5,3,9,7,0,-0.19399999999999729
9,1,3,9,7,1,-10.979000000000005
8,3,3,8,9,3,-0.8959999999999959
7,2,2,9,10,0,5.351000000000004
9,5,0,7,10,0,2.6470000000000002
7,1,0,8,10,3,0.28800000000000514
6,4,0,9,10,0,14.944000000000003
10,3,3,8,8,0,-9.089000000000002
8,5,2,6,8,3,0.04700000000000193
8,1,1,8,9,3,-5.613999999999995
6,1,3,9,7,2,0.6250000000000051
10,5,2,7,6,3,-9.965000000000002
6,5,0,6,9,3,10.197000000000001
8,2,1,9,9,2,-1.1589999999999974
10,5,1,10,8,0,-0.786999999999999
7,4,2,6,7,2,0.3770000000000022
7,2,2,8,10,2,2.951000000000004
8,3,3,8,7,2,-3.6909999999999954
8,3,3,10,6,1,-2.0839999999999943
10,3,1,6,10,2,-9.137000000000004
10,2,3,8,6,3,-16.504
7,1,3,8,10,3,-0.33899999999999375
9,3,3,10,6,1,-6.122999999999996
10,2,0,6,6,0,-17.086
8,4,3,10,6,3,-0.5419999999999967
8,2,0,10,6,2,-4.537999999999997
10,1,1,8,6,1,-17.628000000000007
8,2,3,9,10,2,0.07700000000000329
8,3,0,6,8,1,-3.644999999999998
10,4,2,8,7,3,-9.505
10,1,3,10,10,1,-8.682000000000004
9,5,3,8,10,0,3.394000000000002
8,5,1,9,10,1,8.712000000000003
7,1,0,10,7,3,-1.9259999999999935
8,1,0,8,8,0,-5.519999999999996
9,4,2,10,9,1,1.6160000000000014
8,2,1,8,8,3,-4.6999999999999975
6,3,2,6,6,0,1.2200000000000024
7,5,0,8,7,1,6.624000000000004
8,4,3,7,6,0,-3.1249999999999982
6,4,3,9,6,0,7.701000000000002
9,1,1,7,6,2,-15.476000000000003
10,5,1,10,7,3,-3.979999999999999
6,4,2,7,6,0,5.162000000000003
9,5,3,8,8,3,-1.452999999999998
7,5,1,7,6,2,2.874000000000004
6,5,2,6,9,2,10.292000000000002
8,5,2,10,8,0,7.082000000000004
8,1,3,10,10,3,-1.6299999999999941
7,2,1,6,9,2,-1.2419999999999976
9,4,1,9,10,1,2.1050000000000004
9,1,3,6,10,0,-9.626000000000005
10,1,2,9,6,0,-15.950000000000003
8,4,2,8,6,1,-2.054999999999998
7,3,2,8,8,2,2.2110000000000056
7,2,1,8,8,0,0.8780000000000037
7,4,1,9,6,1,3.5670000000000037
10,2,0,8,10,0,-7.721999999999998
8,4,0,8,9,1,3.325000000000001
9,4,3,8,6,1,-6.302999999999999
6,3,1,8,7,2,4.805000000000003
9,4,2,10,8,1,-0.03799999999999859
10,4,2,6,10,2,-6.778000000000002
10,2,0,7,8,0,-12.403999999999996
6,1,0,6,9,1,0.9510000000000022
8,4,0,10,8,3,3.393000000000002
10,4,2,6,9,0,-7.406000000000002
6,4,3,6,9,0,8.541
6,5,2,8,10,1,15.207000000000003
8,2,3,9,6,2,-6.538999999999996
8,3,3,8,7,1,-3.1779999999999955
8,3,1,10,7,1,-0.011999999999995237
10,3,0,6,6,1,-15.031
10,1,0,6,7,2,-19.026000000000003
8,5,2,6,9,3,1.7010000000000018
6,4,0,9,10,1,14.431000000000003
10,2,2,9,7,0,-11.727999999999998
10,1,1,9,7,0,-14.087000000000007
10,5,3,6,7,2,-9.381
10,1,1,9,7,0,-14.087000000000007
7,4,1,9,10,1,10.183000000000003
7,2,3,7,8,3,-2.4529999999999963
8,1,3,9,7,1,-6.939999999999996
8,2,1,7,6,3,-9.381999999999996
6,4,1,10,7,1,10.634000000000004
7,2,2,7,8,1,-1.2179999999999964
7,3,2,7,10,3,3.6320000000000046
9,1,3,10,6,3,-12.285000000000002
9,5,0,10,7,2,0.7810000000000021
8,4,1,6,8,3,-2.312
9,2,1,8,8,2,-8.225999999999999
6,1,0,7,9,2,1.8120000000000027
9,2,1,10,7,0,-6.105999999999998
8,4,1,6,8,3,-2.312
7,5,3,9,10,2,11.820000000000006
6,5,1,9,7,2,11.315000000000003
6,4,3,6,10,1,9.682
6,5,0,6,10,3,11.851
9,1,0,7,6,2,-15.267
9,3,1,9,6,0,-6.565999999999995
6,4,1,10,6,3,7.954000000000004
8,2,3,6,8,2,-7.352999999999998
9,2,0,6,9,1,-8.598
6,2,2,9,8,0,6.0820000000000025
9,2,3,8,10,3,-5.848999999999998
7,1,2,6,8,0,-4.646999999999995
6,3,3,7,9,3,5.808000000000003
7,4,0,8,9,0,7.8770000000000024
6,3,1,10,7,1,8.066000000000004
9,1,3,9,6,1,-12.633000000000004
9,3,2,8,7,1,-7.007999999999997
6,5,2,9,6,0,10.478000000000003
10,4,1,9,9,1,-3.587999999999999
7,3,1,6,10,1,3.493000000000004
7,1,3,9,9,3,-0.6189999999999931
9,4,3,9,7,0,-2.7619999999999987
6,2,2,10,7,0,5.802000000000003
10,5,3,6,7,1,-8.868
6,4,3,7,6,0,4.953000000000001
6,1,1,7,10,3,2.744000000000003
9,2,0,9,6,0,-8.924999999999997
6,5,0,10,9,3,15.693000000000003
7,5,3,6,10,1,8.211000000000004
9,1,3,6,10,2,-10.652000000000005
10,5,0,7,6,1,-8.521000000000003
6,1,1,9,10,1,6.518000000000004
9,4,1,7,8,2,-4.464000000000002
7,2,3,8,8,2,-0.5659999999999956
6,2,1,9,6,3,1.4440000000000022
6,1,2,8,9,3,2.255000000000004
8,4,0,6,9,0,1.0899999999999999
7,1,2,8,10,0,1.409000000000006
9,4,0,6,6,1,-8.424000000000001
9,3,0,6,8,1,-7.683999999999999
10,5,3,6,9,1,-5.5600000000000005
8,5,1,9,10,1,8.712000000000003
7,2,0,8,6,1,-2.7339999999999964
9,2,1,6,6,0,-13.256
8,4,2,6,9,3,-0.8669999999999995
9,3,1,10,8,2,-2.9099999999999966
7,5,1,10,8,2,10.304000000000006
8,2,1,7,10,1,-1.7399999999999967
10,5,2,10,6,3,-5.842999999999998
6,2,0,8,6,3,0.27900000000000125
7,2,0,6,9,3,-1.545999999999998
6,3,1,9,10,3,10.628000000000004
7,5,1,9,8,1,9.443000000000005
10,4,0,10,6,1,-6.9670000000000005
6,1,2,10,8,2,3.8620000000000054
8,4,2,9,6,1,-0.6809999999999975
9,2,0,7,7,1,-10.532000000000002
7,4,1,8,8,3,4.475000000000003
6,1,2,7,7,0,-0.8879999999999963
6,1,0,8,6,1,-1.2629999999999963
10,3,1,9,6,2,-11.631000000000004
10,3,3,6,7,3,-15.030000000000003
9,2,2,8,7,3,-10.601999999999999
9,1,2,7,6,2,-15.684999999999999
9,2,1,7,6,3,-13.420999999999998
9,4,1,9,8,3,-2.2289999999999996
6,4,2,7,6,2,4.136000000000003
9,5,0,9,9,2,2.7150000000000016
8,4,1,7,9,0,2.255000000000001
10,2,0,8,6,2,-15.363999999999997
7,1,3,10,6,2,-3.693999999999992
8,2,1,6,6,0,-9.216999999999999
7,4,3,8,10,3,7.365000000000004
8,5,3,9,8,0,5.499000000000004
8,1,3,9,8,2,-5.798999999999996
9,2,1,7,10,2,-6.291999999999998
8,5,2,8,9,2,4.962000000000003
7,1,1,6,10,2,-2.1559999999999953
7,3,3,7,6,2,-2.6799999999999944
6,2,1,9,7,0,4.637000000000002
7,3,0,9,6,0,1.7210000000000054
10,5,2,9,6,0,-5.677999999999999
9,3,3,9,8,3,-5.2149999999999945
6,2,3,10,7,1,5.080000000000004
6,5,0,6,6,3,5.235000000000001
6,3,2,6,10,0,7.836000000000002
6,1,0,8,9,0,4.212000000000003
10,5,3,9,6,3,-7.425999999999998
8,4,0,8,7,0,0.5300000000000011
9,4,3,8,8,2,-3.507999999999999
6,1,0,9,9,2,4.560000000000004
7,1,3,8,10,2,0.17400000000000637
10,4,1,9,8,2,-5.754999999999999
8,4,1,6,6,2,-5.106999999999999
10,1,1,9,10,1,-9.638000000000007
8,3,0,7,6,1,-5.578999999999997
10,2,0,7,10,3,-10.634999999999996
6,4,1,10,10,3,14.570000000000002
6,3,3,9,8,3,6.902000000000005
6,5,0,6,8,3,8.543000000000001
7,1,2,8,8,2,-2.9249999999999936
6,2,2,6,10,0,5.268000000000001
9,5,3,10,8,0,2.834000000000003
6,3,3,8,8,3,5.528000000000004
6,4,2,6,9,3,7.211000000000002
8,3,2,9,9,0,2.2260000000000044
10,4,1,8,9,2,-5.475000000000001
6,2,1,10,8,0,7.665000000000003
6,4,3,6,10,3,8.656
6,3,1,9,6,0,5.551000000000004
8,4,2,9,9,3,3.255000000000002
10,3,3,10,7,3,-9.534
7,3,1,7,7,1,-0.09499999999999542
10,5,0,6,9,2,-5.4460000000000015
8,1,1,10,7,1,-5.147999999999994
10,1,0,7,9,2,-14.344000000000001
8,4,0,8,8,1,1.6710000000000012
7,1,2,7,8,0,-3.272999999999996
8,1,3,6,10,3,-7.125999999999996
9,2,3,7,8,2,-10.017999999999997
6,4,2,10,7,0,10.938000000000004
8,4,3,10,10,3,6.074000000000003
10,4,1,9,7,1,-6.895999999999999
6,2,0,8,8,3,3.587000000000001
6,5,2,7,6,1,7.217000000000002
9,1,2,10,6,2,-11.562999999999999
7,4,3,6,6,2,-1.4859999999999973
9,3,0,6,7,0,-8.825
9,1,2,10,8,1,-7.741999999999999
7,4,2,6,8,0,3.057000000000002
7,2,0,6,6,2,-5.994999999999997
7,5,3,8,9,2,8.792000000000005
8,4,2,10,8,2,3.488000000000003
6,5,0,6,7,0,8.428
6,2,0,6,7,2,-0.3019999999999998
8,4,3,7,9,1,1.3240000000000016
6,5,3,10,9,3,15.066000000000004
6,3,0,9,10,0,12.376000000000003
6,2,3,8,9,3,4.6140000000000025
10,5,0,10,10,0,2.7300000000000004
9,4,1,10,9,0,2.338000000000001
8,1,2,7,8,0,-7.311999999999998
7,3,0,7,6,0,-1.0269999999999957
7,2,0,9,10,2,4.743000000000004
6,4,3,10,9,3,12.498000000000003
6,2,2,6,8,2,0.9340000000000008
6,5,3,10,10,1,17.746
7,2,0,8,7,0,-0.5669999999999966
7,3,1,10,10,1,8.989000000000006
6,2,2,9,8,3,4.543000000000003
7,3,2,6,10,3,2.258000000000004
9,2,0,9,9,1,-4.475999999999997
9,2,3,6,8,0,-10.366
6,4,3,10,7,3,9.190000000000003
6,3,1,9,6,0,5.551000000000004
10,4,0,9,8,2,-5.546000000000003
6,3,1,7,10,1,8.906000000000002
7,5,0,6,10,2,8.325000000000003
10,4,1,8,6,2,-10.437000000000001
6,5,2,9,9,2,14.414000000000003
10,5,2,9,9,0,-0.7159999999999993
6,2,0,7,6,0,0.44400000000000084
8,3,2,10,7,3,-1.246999999999995
8,1,0,7,9,3,-6.778999999999998
10,2,1,10,10,3,-6.7219999999999995
6,4,0,8,9,0,11.916000000000002
9,1,0,8,7,3,-12.752
10,3,2,9,6,3,-12.353
9,4,3,7,9,3,-3.741000000000002
9,5,2,6,7,3,-5.645999999999999
6,4,0,9,8,3,10.097000000000003
9,2,0,10,9,0,-2.5889999999999986
9,5,3,7,6,2,-5.621999999999998
8,3,3,9,6,1,-3.457999999999995
8,4,1,10,6,2,0.3890000000000027
7,4,3,7,10,0,7.530000000000003
9,5,1,8,6,1,-3.3169999999999984
10,3,3,6,6,3,-16.684000000000005
7,5,1,8,6,2,4.248000000000005
8,5,2,10,8,3,5.543000000000005
9,3,2,7,7,2,-8.894999999999996
8,3,3,9,6,0,-2.944999999999995
7,4,1,8,6,2,1.680000000000003
6,3,1,10,7,2,7.553000000000004
6,2,3,7,6,0,-0.18299999999999805
9,3,1,7,7,0,-7.66
10,1,3,9,9,0,-11.197000000000006
8,1,1,10,6,3,-7.827999999999994
8,5,2,10,6,2,2.7480000000000047
10,3,0,10,8,0,-5.713999999999999
7,2,0,9,8,3,0.9220000000000037
10,1,2,9,7,2,-15.322000000000003
10,2,1,8,10,2,-8.957
6,4,0,9,7,3,8.443000000000003
7,1,2,10,8,2,-0.17699999999999272
9,3,0,7,9,1,-4.655999999999997
8,1,0,6,9,0,-6.613999999999997
9,5,2,10,6,2,-1.290999999999997
10,4,1,6,8,3,-10.390000000000002
6,5,1,8,6,0,9.313000000000002
10,1,1,10,9,2,-10.431000000000004
10,4,1,9,8,0,-4.728999999999999
10,1,0,8,7,3,-16.791000000000004
7,4,2,8,9,0,7.459000000000003
10,3,1,8,6,3,-13.518000000000002
9,3,1,7,7,3,-9.199
9,2,3,8,8,1,-8.130999999999998
9,1,3,8,8,3,-11.725000000000003
6,2,2,9,6,0,2.7740000000000027
6,3,1,10,9,2,10.861000000000004
6,4,3,6,9,1,8.028
9,5,2,7,7,0,-2.7329999999999988
8,3,2,9,7,2,-2.107999999999995
6,2,3,9,10,2,8.155000000000003
6,3,2,7,10,2,8.184000000000003
7,5,1,8,6,2,4.248000000000005
6,3,0,6,10,1,7.741000000000001
10,4,3,7,8,1,-8.408000000000003
7,4,1,10,7,2,6.082000000000004
10,1,1,8,10,0,-10.499000000000006
8,2,3,10,9,2,-0.20299999999999607
6,4,2,7,8,1,7.9570000000000025
10,4,3,9,8,0,-5.1469999999999985
7,4,0,6,9,0,5.129000000000001
7,2,0,7,7,3,-3.4799999999999973
6,2,0,9,8,3,4.961000000000002
10,4,2,8,10,2,-4.030000000000001
8,3,1,7,8,3,-3.505999999999997
8,5,2,9,9,2,6.336000000000004
8,3,3,6,7,1,-5.925999999999997
10,4,1,6,10,0,-5.543000000000003
8,5,2,7,9,3,3.0750000000000024
8,3,3,8,7,2,-3.6909999999999954
6,5,1,6,10,1,12.668000000000001
7,4,3,7,9,2,4.850000000000003
7,2,3,9,6,3,-3.012999999999995
7,2,3,6,9,3,-2.172999999999997
6,5,3,8,9,2,12.831000000000001
10,5,1,9,6,2,-6.494999999999999
8,1,2,9,6,3,-9.410999999999992
7,1,3,9,8,3,-2.272999999999993
6,2,2,10,10,3,9.225000000000003
9,2,3,6,6,3,-15.213
6,5,2,6,7,0,8.010000000000002
7,2,3,9,7,3,-1.358999999999995
9,2,1,7,10,0,-5.265999999999998
8,3,1,10,10,1,4.950000000000005
7,2,3,6,9,2,-1.6599999999999968
7,5,0,8,7,2,6.111000000000004
6,4,0,10,10,3,14.779000000000005
9,4,0,10,9,3,1.0080000000000005
8,5,1,9,8,2,4.891000000000004
7,2,3,6,7,2,-4.967999999999996
10,2,3,6,9,1,-13.264000000000001
6,4,3,8,7,2,6.955000000000002
9,5,1,7,7,1,-3.036999999999999
6,2,2,9,7,0,4.428000000000003
10,3,1,7,9,2,-9.417000000000002
10,1,1,7,10,1,-12.386000000000005
10,2,3,6,9,1,-13.264000000000001
7,2,0,9,9,2,3.089000000000004
6,3,3,8,9,3,7.182000000000004
8,3,0,6,9,2,-2.503999999999998
8,4,1,8,6,0,-1.3329999999999984
